,importance
Flow IAT Min,0.06091147443818658
Fwd Seg Size Avg,0.0596716122641594
Src Port,0.045802098430057885
TotLen Fwd Pkts,0.04484945542572163
Flow IAT Max,0.044469539661548235
Fwd IAT Tot,0.04397320354861911
Subflow Fwd Byts,0.04219146671514558
Flow IAT Mean,0.039532965576089346
Fwd Pkt Len Mean,0.038978428458335525
Init Fwd Win Byts,0.03747647174705639
Flow Duration,0.033091658241744225
Fwd Pkt Len Max,0.031721189903212134
Pkt Len Std,0.03008071352816205
Fwd IAT Min,0.03005587014904627
Dst Port,0.029762400430107677
Fwd IAT Mean,0.028590258608936815
Fwd Pkt Len Std,0.0251681033104603
Fwd IAT Max,0.024727877660422375
Idle Min,0.023564929417406594
Bwd Seg Size Avg,0.019745713333198307
Tot Bwd Pkts,0.019034286656285603
Bwd Pkt Len Std,0.017948877145967237
Bwd Pkt Len Mean,0.01772559833304806
Idle Mean,0.016375040871945152
Tot Fwd Pkts,0.015208649808969387
Idle Max,0.014877578317753474
Fwd Header Len,0.014472551225492637
Pkt Len Max,0.014101473382213072
Pkt Size Avg,0.012876779287056463
TotLen Bwd Pkts,0.010342399593379828
Flow IAT Std,0.010029024402627873
Bwd Pkt Len Max,0.009817666753290656
Subflow Bwd Byts,0.00980900328179343
Bwd Header Len,0.008084358245785343
Pkt Len Var,0.007786269620643979
Subflow Fwd Pkts,0.007613005914993698
Subflow Bwd Pkts,0.006922838642437463
Fwd IAT Std,0.006553961587996238
Active Mean,0.005749762060971556
Pkt Len Mean,0.0046080501744688186
ACK Flag Cnt,0.004297350450045726
Bwd IAT Tot,0.004291233127482135
Bwd IAT Max,0.003889647492183804
Bwd IAT Std,0.003728231117942979
Active Min,0.0032413465345854935
ECE Flag Cnt,0.0022009414573995367
Active Max,0.0021549769568151756
Fwd Seg Size Min,0.0019596168392849818
Fwd Pkts/s,0.001867391359011677
Fwd Act Data Pkts,0.0017993420349373915
Protocol,0.0011438486860548176
Idle Std,0.0010464837915452874
PSH Flag Cnt,0.000831556986470725
Init Bwd Win Byts,0.0007775208610271432
RST Flag Cnt,0.0006857192571755796
URG Flag Cnt,0.0005965312530784589
Fwd Pkt Len Min,0.00043126081335667605
Bwd IAT Mean,0.0003332828659675315
Bwd Pkts/s,0.0002699264897050153
Down/Up Ratio,5.481847573716923e-05
Pkt Len Min,4.283772573657666e-05
Fwd PSH Flags,4.1669704055696254e-05
Bwd IAT Min,9.147453296907149e-06
FIN Flag Cnt,1.4030276825643332e-06
SYN Flag Cnt,9.87238539513122e-07
Active Std,1.7650933071510705e-07
Bwd Pkt Len Min,1.453368144910632e-07
Fwd Blk Rate Avg,0.0
Fwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd URG Flags,0.0
Fwd Pkts/b Avg,0.0
CWE Flag Count,0.0
Bwd PSH Flags,0.0
Bwd Pkts/b Avg,0.0
Fwd URG Flags,0.0
