,importance
Init Fwd Win Byts,0.09845130372963626
Fwd Seg Size Min,0.06938178501810871
Fwd Header Len,0.045613173696638906
Flow IAT Mean,0.041523648553191315
Flow Duration,0.041200912504565854
Flow Pkts/s,0.039645075721805006
Fwd Pkts/s,0.0369500573662554
Flow IAT Max,0.03396088845882712
Fwd IAT Tot,0.033219230630300106
Flow IAT Min,0.030264912815622443
Tot Fwd Pkts,0.0273560267743395
Bwd Pkts/s,0.025788163745454642
Fwd IAT Max,0.025430365633072802
Fwd IAT Min,0.02406945145847633
Fwd IAT Mean,0.02359309838468282
Init Bwd Win Byts,0.023341833662706323
Subflow Fwd Pkts,0.02332075770302978
TotLen Fwd Pkts,0.021422027006928284
Subflow Fwd Byts,0.019126434654436416
Fwd Act Data Pkts,0.015973224050466136
Bwd Header Len,0.014368070300854897
Flow IAT Std,0.014132450096504955
Fwd Pkt Len Max,0.012947903992757697
Bwd IAT Max,0.011657888614003863
Bwd IAT Mean,0.011443923694628261
Fwd Pkt Len Mean,0.011294258434272324
Fwd IAT Std,0.01119570399608248
Bwd IAT Min,0.010447630247549577
Pkt Len Max,0.010261539702716971
Tot Bwd Pkts,0.010245385013366248
Bwd Pkt Len Mean,0.01008187808847362
Flow Byts/s,0.00980810949928492
Bwd Seg Size Avg,0.009648873038857529
Pkt Len Var,0.009286336144228044
Subflow Bwd Byts,0.009092005141211602
Fwd Seg Size Avg,0.009068156205618846
Bwd Pkt Len Std,0.008713035306836564
Bwd Pkt Len Max,0.008710564495983593
Bwd IAT Tot,0.00871023285808895
Pkt Len Std,0.008483597196577038
TotLen Bwd Pkts,0.007781003600278541
ACK Flag Cnt,0.007742177693405651
Pkt Size Avg,0.007727344413597733
Pkt Len Mean,0.007398008016152667
Fwd Pkt Len Std,0.00736507917410531
Subflow Bwd Pkts,0.006896450810062594
PSH Flag Cnt,0.004912130820755323
RST Flag Cnt,0.004131377709677548
URG Flag Cnt,0.003851706620305956
Idle Max,0.003779164033349795
ECE Flag Cnt,0.003636838644097979
Fwd Pkt Len Min,0.003393686234309763
Pkt Len Min,0.0033142640491821375
Bwd IAT Std,0.0029130179522590797
Idle Min,0.0020754841886007906
Protocol,0.001905262704759301
Idle Std,0.0018183306645162636
Idle Mean,0.0017586582260870247
Down/Up Ratio,0.0015695633292905852
Active Max,0.0012539677942513911
Active Min,0.0012498190993470333
Active Mean,0.001081052213859992
Bwd Pkt Len Min,0.0008580407533010853
SYN Flag Cnt,0.0007891089303006278
Fwd PSH Flags,0.0006454993428053231
FIN Flag Cnt,0.0004579659621011026
Active Std,0.0003820811887201887
Fwd URG Flags,4.993948173055531e-05
CWE Flag Count,3.306271234662948e-05
Bwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Fwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd URG Flags,0.0
