,importance
Tot Fwd Pkts,0.14373193620325722
Subflow Fwd Pkts,0.1343153612975385
Fwd Header Len,0.08967075761444437
Subflow Fwd Byts,0.08960812010247803
Fwd Seg Size Avg,0.0701933126130638
TotLen Fwd Pkts,0.05990633516202997
Init Bwd Win Byts,0.059125961725814344
Fwd Pkt Len Std,0.05385123784402942
Fwd Pkt Len Mean,0.048697874372024566
Fwd Pkt Len Max,0.044141320005049986
ACK Flag Cnt,0.02604363752211077
Fwd Act Data Pkts,0.0216329260843358
Bwd Header Len,0.019677414184962917
Pkt Len Max,0.015637258554854896
TotLen Bwd Pkts,0.014144343993035898
Tot Bwd Pkts,0.012466113287821493
Pkt Size Avg,0.011139647617379043
Flow IAT Std,0.010689825608356197
Dst Port,0.009904839935863148
Down/Up Ratio,0.009436775954545562
Bwd Pkt Len Mean,0.009429644205878671
Flow Byts/s,0.005324639117664211
Flow IAT Min,0.005300404701206447
Pkt Len Var,0.005275451246376124
Bwd Pkts/s,0.005151215899736629
Subflow Bwd Byts,0.004752920043977183
Bwd Pkt Len Std,0.0047415744051799505
Bwd Pkt Len Max,0.004717055935173097
Bwd Seg Size Avg,0.004714834017222253
Flow Duration,0.0010862685667447248
Flow Pkts/s,0.0010241172610310062
Fwd IAT Tot,0.0007599275024084879
Init Fwd Win Byts,0.0007166521579632235
Flow IAT Max,0.0005062102239829579
Fwd IAT Max,0.00039848861179621385
Protocol,0.0003569779611535606
Fwd Seg Size Min,0.0002837801594221373
Flow IAT Mean,0.0002481597965928461
Pkt Len Min,0.00017257771068874961
Fwd Pkt Len Min,0.00017145685021911262
Idle Max,0.00012884645192453196
Fwd IAT Mean,0.00012824639772782349
Fwd IAT Std,0.00010985161302524899
Fwd IAT Min,9.740729616006511e-05
Fwd Pkts/s,8.432431977575549e-05
Idle Mean,6.902957646130215e-05
Bwd IAT Max,6.663297184534986e-05
Idle Min,6.204358660511609e-05
Bwd IAT Mean,3.422462612038645e-05
Idle Std,3.0385753211004656e-05
PSH Flag Cnt,8.67109151153548e-06
Subflow Bwd Pkts,7.2547571343064626e-06
RST Flag Cnt,6.784560240463617e-06
Pkt Len Std,5.76241717435765e-06
URG Flag Cnt,1.9079564891763995e-06
Bwd IAT Std,1.817913103178693e-06
Active Min,1.8079980906907867e-06
Fwd PSH Flags,1.7799909283190562e-06
SYN Flag Cnt,1.6102494519371034e-06
Pkt Len Mean,1.5519889396189138e-06
Bwd Pkt Len Min,9.014959290562676e-07
Bwd IAT Min,6.007450748079862e-07
FIN Flag Cnt,4.807992830904138e-07
Bwd IAT Tot,4.1929377120142995e-07
Active Max,3.000926079599645e-07
Bwd PSH Flags,0.0
ECE Flag Cnt,0.0
Fwd URG Flags,0.0
Fwd Pkts/b Avg,0.0
Bwd Pkts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Fwd Byts/b Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Active Std,0.0
Bwd URG Flags,0.0
Active Mean,0.0
CWE Flag Count,0.0
