,importance
Fwd IAT Max,0.05200040315904096
Flow IAT Min,0.05057146586377923
Subflow Fwd Byts,0.048430659319043716
TotLen Fwd Pkts,0.047210440931032986
Src Port,0.046060865730881174
Fwd IAT Tot,0.04096601325541759
Fwd Pkt Len Max,0.03893848025673522
Fwd Pkt Len Mean,0.03854446143598813
Flow Duration,0.03757742109283019
Fwd IAT Min,0.03757390660809853
Fwd Seg Size Avg,0.035440155402985306
Fwd Pkt Len Std,0.03300113495982322
Flow IAT Max,0.03259731906450742
Init Fwd Win Byts,0.03174510776432645
Fwd IAT Mean,0.030081016102239757
Bwd Pkt Len Max,0.02699077426031539
Idle Mean,0.026933096490847547
Pkt Size Avg,0.026397400089249463
Fwd Header Len,0.025559094513509864
Bwd Seg Size Avg,0.025436257181665898
Pkt Len Std,0.020463019935329622
Subflow Bwd Byts,0.020227405747653835
Flow IAT Mean,0.01921934506231472
Pkt Len Max,0.017770209739690627
Idle Max,0.016731119600838312
Subflow Fwd Pkts,0.015626661833362678
Bwd Pkt Len Std,0.014489111909701445
Idle Min,0.013697070112579257
Fwd IAT Std,0.012333957067989908
Flow IAT Std,0.012223007401166061
Pkt Len Mean,0.011866729143414696
Fwd Act Data Pkts,0.010638825146059143
Tot Fwd Pkts,0.009873507559093903
Bwd Pkt Len Mean,0.00945166210930965
ACK Flag Cnt,0.008671201899631966
Subflow Bwd Pkts,0.006149769349028905
RST Flag Cnt,0.005114925085320628
Pkt Len Var,0.004795428425114224
Active Max,0.004704225364472091
TotLen Bwd Pkts,0.00426704438105329
Bwd Header Len,0.0039759079619301925
Bwd IAT Std,0.003809039299338502
Active Min,0.003372175252271657
Fwd Seg Size Min,0.0032218840234401937
Active Mean,0.0024823499719546518
Tot Bwd Pkts,0.002467355722749751
Bwd IAT Mean,0.001594026441824382
Init Bwd Win Byts,0.0013530436641462748
Protocol,0.0013491654103326028
Bwd IAT Tot,0.001271999318286781
URG Flag Cnt,0.0010522392014431414
PSH Flag Cnt,0.0009911487880846115
SYN Flag Cnt,0.0007181484724887968
ECE Flag Cnt,0.0006147961296409702
Fwd Pkt Len Min,0.00040921449333796876
Bwd IAT Max,0.0002230269230998467
Bwd IAT Min,0.00018133020174891746
Fwd Pkts/s,0.0001749910178363025
Idle Std,0.00016996929267342395
Pkt Len Min,0.00010157411383834785
Bwd Pkts/s,7.394528186686578e-05
Down/Up Ratio,1.4213538795564177e-05
Fwd PSH Flags,3.6285781322283463e-06
FIN Flag Cnt,2.500889542501905e-06
Active Std,2.088674603983892e-06
Bwd Pkt Len Min,5.36981148523196e-07
CWE Flag Count,0.0
Bwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Bwd Byts/b Avg,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Fwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
