,importance
Init Fwd Win Byts,0.11101322082239745
Fwd Act Data Pkts,0.044095942994774776
Bwd Pkt Len Max,0.03824919621523176
Subflow Fwd Byts,0.03746576201960809
RST Flag Cnt,0.037424107990984286
TotLen Fwd Pkts,0.03619980834499475
Pkt Len Max,0.035371444926818964
Fwd Pkts/s,0.03369313744972098
ECE Flag Cnt,0.03137868871158168
Bwd Seg Size Avg,0.030461478940711453
Dst Port,0.028972795190911147
Bwd Pkt Len Mean,0.028644535468385923
Pkt Len Var,0.02709528964659497
Flow IAT Std,0.0268930028215199
Pkt Len Std,0.025540069503964688
Flow Duration,0.023625689665953388
Fwd Seg Size Avg,0.021877049549250394
Fwd Pkt Len Mean,0.021579765434405727
Fwd IAT Max,0.019027815982429745
Fwd IAT Std,0.018275649665751466
Fwd IAT Tot,0.01769097824132784
Flow IAT Mean,0.016535858377575624
Bwd Pkt Len Std,0.015741936072158166
Fwd IAT Mean,0.014473628565727257
Subflow Fwd Pkts,0.014151834399448938
Flow IAT Max,0.01405909895336803
Flow IAT Min,0.0128888386490731
Fwd IAT Min,0.012810542909625211
Pkt Len Mean,0.01252199821481299
Fwd Header Len,0.011643777468842802
Tot Fwd Pkts,0.011137875634303875
Subflow Bwd Byts,0.01057303434328152
Init Bwd Win Byts,0.010414861647340894
Pkt Size Avg,0.010240120398296032
Fwd Pkt Len Max,0.010222236659078178
Bwd Header Len,0.009735250564171585
Fwd Pkt Len Std,0.008870713599087808
Idle Std,0.00825925046157966
Bwd IAT Mean,0.007919363472159052
Active Min,0.006508573067286295
Idle Max,0.006395203867488247
Tot Bwd Pkts,0.006234773329211168
Idle Min,0.006197339291479236
Pkt Len Min,0.006061620672727989
Active Mean,0.0058141608146334445
Active Max,0.0056628796686914
TotLen Bwd Pkts,0.005509505934900714
Fwd Pkt Len Min,0.005368785837238509
Bwd IAT Min,0.005268399621138436
Subflow Bwd Pkts,0.005240592310738748
Bwd IAT Max,0.004867276853916748
Bwd IAT Std,0.004585052140275212
Idle Mean,0.004062789798171154
Bwd Pkts/s,0.003946864655251176
URG Flag Cnt,0.003519431709003102
Bwd IAT Tot,0.0021246974528048457
Protocol,0.0015551361842124933
ACK Flag Cnt,0.0014456569501155644
Fwd Seg Size Min,0.0013474767302318084
PSH Flag Cnt,0.0005189087554913608
Down/Up Ratio,0.00030285418775987945
FIN Flag Cnt,0.00029316720028447384
Bwd Pkt Len Min,0.00019430892134629518
Active Std,0.00016648564382110858
SYN Flag Cnt,2.0315959661188712e-05
Fwd PSH Flags,1.2092464869287748e-05
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
Bwd URG Flags,0.0
Fwd Blk Rate Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Pkts/b Avg,0.0
CWE Flag Count,0.0
