,importance
Dst Port,0.17788590750227185
Fwd Seg Size Min,0.13679507145256176
Init Fwd Win Byts,0.07755231849088035
Fwd Pkts/s,0.06801165394731115
Bwd Pkts/s,0.06756895592446026
Fwd Header Len,0.0536076018803869
Bwd Header Len,0.04697893761844519
Init Bwd Win Byts,0.034290929912992166
ACK Flag Cnt,0.028266727124402473
Subflow Fwd Pkts,0.027456517048321263
Fwd Act Data Pkts,0.02712573029864241
PSH Flag Cnt,0.021100874065049707
URG Flag Cnt,0.02081189961551391
Tot Fwd Pkts,0.02006578166242976
Pkt Len Mean,0.017903896900101406
Pkt Size Avg,0.017194003980560573
Pkt Len Max,0.01678633237945046
Down/Up Ratio,0.015932042490143912
TotLen Fwd Pkts,0.01173594830024497
Subflow Bwd Pkts,0.011063105912121434
Fwd Pkt Len Mean,0.010680151648395869
Bwd Pkt Len Max,0.010374544240867896
Subflow Fwd Byts,0.010171390683486095
Fwd Seg Size Avg,0.009619641818056662
TotLen Bwd Pkts,0.009404824956771292
Tot Bwd Pkts,0.00857238008308647
Fwd Pkt Len Max,0.006902559891619189
Bwd Seg Size Avg,0.00657935576260537
Pkt Len Std,0.0063198007821424216
Bwd Pkt Len Mean,0.0038372121009835718
Subflow Bwd Byts,0.0038248119999231725
Bwd IAT Tot,0.002797904984199626
Flow Duration,0.0018117856368935544
Bwd Pkt Len Std,0.0012560493057547353
Fwd IAT Max,0.0010896616050988456
Flow IAT Max,0.001067576678487585
Pkt Len Min,0.0010242665631749897
Fwd IAT Tot,0.0009524953974193817
Fwd IAT Mean,0.0008185637499275246
Pkt Len Var,0.0007644314507792744
Flow IAT Mean,0.0006215226556324927
Protocol,0.0005874472063129363
Bwd IAT Std,0.0004982489021023106
Bwd IAT Max,0.0003636484859294691
Active Max,0.0003504416642734419
Idle Mean,0.0003130091612170323
Flow IAT Std,0.00027512411909452663
Fwd Pkt Len Std,0.00021562329150637169
Idle Min,0.0002132158289466801
Fwd Pkt Len Min,0.00018287423943429915
Bwd IAT Mean,0.00010802162788177328
FIN Flag Cnt,8.955211441245362e-05
SYN Flag Cnt,6.069029740757329e-05
Fwd IAT Min,3.320181848693466e-05
Bwd IAT Min,3.209666699573075e-05
Fwd IAT Std,2.0951571387398584e-05
Flow IAT Min,1.0910481193552844e-05
Active Min,1.0143249205279851e-05
Active Mean,7.92527562111386e-06
Idle Max,9.152231329966398e-07
ECE Flag Cnt,4.0336845326412085e-07
Idle Std,2.575214979466593e-07
RST Flag Cnt,1.2938390886972025e-07
Fwd PSH Flags,0.0
Fwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Bwd Byts/b Avg,0.0
Fwd URG Flags,0.0
Active Std,0.0
CWE Flag Count,0.0
Bwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
Bwd Pkt Len Min,0.0
Bwd PSH Flags,0.0
