,importance
Flow Duration,0.06179005353827166
Flow IAT Min,0.06101647234960595
Fwd Pkts/s,0.060175309632154776
Flow IAT Mean,0.05998223472307496
Flow IAT Max,0.05722041627991751
Flow Pkts/s,0.05706301278566855
Bwd Pkts/s,0.054957564018856056
Init Fwd Win Byts,0.05297281385694193
Flow Byts/s,0.045930149589892215
Fwd IAT Min,0.02742586149998334
Fwd IAT Max,0.026963664146630276
Fwd IAT Mean,0.025964780612089636
Flow IAT Std,0.024649937269834044
Fwd Seg Size Min,0.02452461049321481
Fwd IAT Tot,0.023791230027205634
Fwd IAT Std,0.019256450337669918
Bwd IAT Min,0.01438939497463253
Bwd IAT Mean,0.013889037031462737
Bwd IAT Std,0.013756080269415508
Bwd IAT Max,0.01338159256629794
Pkt Size Avg,0.013044922728448231
Bwd IAT Tot,0.012249183860670245
Pkt Len Mean,0.012049563773025079
Init Bwd Win Byts,0.012040650823504806
Fwd Seg Size Avg,0.009871766806027065
Fwd Pkt Len Max,0.00935205655761242
Pkt Len Max,0.009053489646534801
Pkt Len Std,0.008909347949680851
Subflow Fwd Byts,0.008624621351123631
Pkt Len Var,0.008582876170885594
TotLen Fwd Pkts,0.008236119599719259
Fwd Header Len,0.008232376081657783
PSH Flag Cnt,0.008074510459929431
Fwd Pkt Len Mean,0.007970132896557092
Bwd Pkt Len Mean,0.007459585962106789
Bwd Seg Size Avg,0.007239265172514074
TotLen Bwd Pkts,0.007112981645043585
Subflow Bwd Byts,0.0067994471121933095
Active Min,0.006141927603838499
Active Mean,0.005787349943614288
Active Max,0.005722625778593757
Bwd Pkt Len Max,0.005696116440004311
Tot Fwd Pkts,0.005112581954524023
Idle Min,0.005092121162354596
Idle Std,0.004747121493446395
Bwd Pkt Len Std,0.004635322008118189
Subflow Fwd Pkts,0.004457533622165572
Idle Mean,0.004392408607160032
Bwd Header Len,0.00426506654404627
Fwd Pkt Len Std,0.00421860386250702
Bwd Pkt Len Min,0.003622512564630954
Fwd Pkt Len Min,0.0035710639656257076
Active Std,0.003531404152777467
ACK Flag Cnt,0.0034928273874205813
Pkt Len Min,0.0031607798105603778
Subflow Bwd Pkts,0.0030300274247163756
Idle Max,0.002973145095458398
Tot Bwd Pkts,0.002252981352397407
URG Flag Cnt,0.001989613767914967
Down/Up Ratio,0.0016106048789028423
ECE Flag Cnt,0.0012315501094570145
RST Flag Cnt,0.001166959254235633
Fwd Act Data Pkts,0.001085590240597457
Fwd URG Flags,0.0008196798780550251
CWE Flag Count,0.0006990873730853383
SYN Flag Cnt,0.0005597173837876725
Fwd PSH Flags,0.00044641598162300573
FIN Flag Cnt,0.0002963890658661906
Protocol,0.00018730669246064794
Fwd Byts/b Avg,0.0
Bwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
Fwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd Blk Rate Avg,0.0
