,importance
Dst Port,0.06731123946276348
Bwd Pkts/s,0.06359000305866942
Fwd Pkts/s,0.06170056752540803
Flow Duration,0.0581892041349686
Flow IAT Max,0.0497010405713762
Flow IAT Mean,0.04861398928603602
Fwd Seg Size Min,0.038449083002234236
Flow IAT Min,0.03692947908588742
Fwd IAT Mean,0.029978365149114183
Init Fwd Win Byts,0.028672424436279167
Flow IAT Std,0.02771025962868106
Fwd IAT Max,0.02765896635620721
Fwd IAT Tot,0.026410426596436064
Fwd IAT Std,0.0222228041813156
Fwd IAT Min,0.021126535880966916
Bwd IAT Mean,0.019766010258628623
Bwd IAT Tot,0.018508363704654827
Bwd IAT Std,0.01794425775208679
Bwd IAT Min,0.017496910215367457
Bwd IAT Max,0.01656419833594059
Pkt Len Mean,0.014418666450632065
Pkt Size Avg,0.013155538432038429
Fwd Header Len,0.012654121151633385
Fwd Pkt Len Mean,0.011887845585123688
Init Bwd Win Byts,0.011522411987109323
Fwd Seg Size Avg,0.011491446413832339
Subflow Fwd Byts,0.011330213005733883
Pkt Len Max,0.011163290924053864
Fwd Pkt Len Max,0.010822724535114117
Pkt Len Std,0.010402403222664093
Bwd Pkt Len Mean,0.008992218785451743
TotLen Fwd Pkts,0.008651089007649899
Active Mean,0.008392668374766515
Bwd Seg Size Avg,0.008146503531554482
Active Max,0.00807238155116404
Pkt Len Var,0.00789551443816069
Active Min,0.007747054068186317
Tot Fwd Pkts,0.007592296297780915
Bwd Pkt Len Max,0.007326908091240231
Idle Min,0.007142890995005974
ACK Flag Cnt,0.006577275888019315
PSH Flag Cnt,0.006510885756436959
Down/Up Ratio,0.006290964918721617
Idle Std,0.006283979506200263
Idle Mean,0.006247017290486391
Bwd Header Len,0.0060382361723409425
Bwd Pkt Len Std,0.005630604162631582
Fwd Pkt Len Std,0.0055127910061626
TotLen Bwd Pkts,0.005436729118279766
Active Std,0.005346565355715919
Subflow Fwd Pkts,0.00508672956178416
Subflow Bwd Byts,0.004962051435671687
Idle Max,0.004522097587347015
Tot Bwd Pkts,0.003986480062660779
Bwd Pkt Len Min,0.003910953190068209
Subflow Bwd Pkts,0.003613502705703672
Pkt Len Min,0.003291413949591376
Fwd Pkt Len Min,0.0028034666468755953
URG Flag Cnt,0.0018823576342477132
Fwd Act Data Pkts,0.0017371183601383492
ECE Flag Cnt,0.0016949142348123675
RST Flag Cnt,0.00151786138105797
CWE Flag Count,0.0010368084999075261
Fwd URG Flags,0.0009721744313241994
Fwd PSH Flags,0.0008002634056164492
SYN Flag Cnt,0.0006606985646491187
FIN Flag Cnt,0.0001595626531134904
Protocol,0.00013418104851708587
Bwd PSH Flags,0.0
Fwd Byts/b Avg,0.0
Bwd Byts/b Avg,0.0
Bwd URG Flags,0.0
Bwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
