,importance
Init Fwd Win Byts,0.216177829331389
Bwd Pkt Len Mean,0.10753533412846988
Bwd Seg Size Avg,0.0756932053325237
Pkt Len Max,0.07132734417752705
Bwd Pkt Len Max,0.06478831476349826
Fwd Pkts/s,0.05077692180513366
Pkt Len Std,0.040244914942785315
Tot Fwd Pkts,0.034970931049437486
Subflow Fwd Byts,0.03447941528798862
Subflow Fwd Pkts,0.03206029244971653
Pkt Len Var,0.026758421220604817
Fwd Header Len,0.02547900781994196
Fwd Act Data Pkts,0.02536200856759771
ACK Flag Cnt,0.023263334612418137
ECE Flag Cnt,0.02291672092759876
RST Flag Cnt,0.018487532242415335
FIN Flag Cnt,0.010614247644146342
Fwd Seg Size Avg,0.010193336055284356
Bwd Header Len,0.009331234912342508
Tot Bwd Pkts,0.009038798385265938
Subflow Bwd Byts,0.008392619700568149
Bwd Pkts/s,0.006548992610166183
Pkt Size Avg,0.005712803910819636
Bwd IAT Mean,0.005483787846853002
Flow IAT Std,0.005194730338638113
Subflow Bwd Pkts,0.005084478347214994
Flow IAT Max,0.004775497169449741
Fwd IAT Std,0.004478203532273453
Fwd IAT Tot,0.003940291504864706
Pkt Len Mean,0.003647560468496617
Bwd IAT Tot,0.003367515039758515
Fwd IAT Max,0.002980240918929762
Init Bwd Win Byts,0.002973653350351946
PSH Flag Cnt,0.002783408487858779
TotLen Bwd Pkts,0.002670734963962593
Flow Duration,0.0026448411892893873
Bwd IAT Min,0.002603298182309433
Fwd Pkt Len Std,0.0022255628050543955
Bwd Pkt Len Std,0.0021421251647804796
Flow IAT Mean,0.0015961686281952619
Idle Min,0.0015558001406973242
Bwd IAT Std,0.0012319384643893823
Fwd Pkt Len Mean,0.001039418226493555
URG Flag Cnt,0.0008817233917285918
TotLen Fwd Pkts,0.0008610720358199922
Fwd Pkt Len Max,0.0007273264876771068
Active Max,0.0006912775576978912
Fwd Seg Size Min,0.0006853603956576966
Protocol,0.0006826160987167527
Idle Max,0.0005825836322347824
Fwd IAT Mean,0.0005167276132434718
Flow IAT Min,0.00043306082051325465
Bwd IAT Max,0.0004130303135486354
Active Mean,0.00030213155421418434
Idle Mean,0.00023866157295153546
Down/Up Ratio,0.00016230354373497936
Active Min,0.0001218826273726239
SYN Flag Cnt,9.937173404300265e-05
Fwd IAT Min,2.610851538242376e-05
Idle Std,7.485482491678984e-07
Pkt Len Min,6.246859868146652e-07
Fwd PSH Flags,5.678255042536964e-07
Active Std,4.3982220581061355e-09
Bwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
CWE Flag Count,0.0
Bwd Pkt Len Min,0.0
Fwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Fwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd Byts/b Avg,0.0
Fwd URG Flags,0.0
Fwd Pkt Len Min,0.0
