,importance
Init Fwd Win Byts,0.1777133089701869
Subflow Fwd Byts,0.05985970936392682
Fwd Pkts/s,0.048613346011392125
TotLen Fwd Pkts,0.044488252547580584
ECE Flag Cnt,0.04300445682150337
Fwd Act Data Pkts,0.041883942169649836
Dst Port,0.03817855834427517
Bwd Seg Size Avg,0.03704014079814676
Bwd Pkt Len Mean,0.03610604854737903
Fwd Pkt Len Mean,0.03569170611440856
RST Flag Cnt,0.03327192604642185
Bwd Pkt Len Max,0.03283980725859832
Pkt Len Std,0.02625355775312482
Pkt Len Max,0.02611929124991482
Pkt Len Var,0.020832527387710863
Fwd Seg Size Avg,0.01900237923459607
TotLen Bwd Pkts,0.018970911318140417
Tot Fwd Pkts,0.018576396864186644
Fwd Pkt Len Std,0.018309361710301116
Fwd Header Len,0.01751289166158071
Bwd Pkt Len Std,0.016574969163047345
Subflow Fwd Pkts,0.016385691704805628
Fwd Pkt Len Max,0.015510950399925207
Pkt Size Avg,0.014041907670069948
Pkt Len Mean,0.011523587650739839
Bwd Header Len,0.011435546138712878
Bwd IAT Mean,0.010022774164865286
Subflow Bwd Byts,0.009396598276049446
Init Bwd Win Byts,0.008655040681674117
Fwd IAT Std,0.007917675270613812
Subflow Bwd Pkts,0.007600611442350097
Bwd IAT Min,0.00656732315148295
Bwd IAT Tot,0.006067332800733574
Fwd IAT Max,0.005530500472343659
Flow Duration,0.00512798919544023
Fwd IAT Tot,0.005038357049968102
Flow IAT Max,0.00492804876681183
Bwd IAT Std,0.004696227039286064
Tot Bwd Pkts,0.0045368478847197455
Flow IAT Std,0.004231214079904991
Flow IAT Mean,0.004172143191127763
Bwd IAT Max,0.003915653693711605
ACK Flag Cnt,0.003422894327363873
Fwd IAT Mean,0.003269376838759901
Bwd Pkts/s,0.002188343136509176
Active Min,0.0018205752474401357
Protocol,0.0017814544427341749
Active Mean,0.0017041877455578433
URG Flag Cnt,0.0014329199542980544
Idle Max,0.001222002654102615
Idle Min,0.00121191526576409
Fwd IAT Min,0.0008956164437040268
Down/Up Ratio,0.0007149369718111881
PSH Flag Cnt,0.0006271789287918118
Idle Mean,0.00032706859871895063
Fwd Seg Size Min,0.0003064652187700669
Active Std,0.00024318507410247322
Flow IAT Min,0.00022320797758657542
Active Max,0.00021911149314356854
FIN Flag Cnt,0.00017247484499215298
Fwd PSH Flags,3.76326913552861e-05
Idle Std,2.7599446436372636e-05
Fwd Pkt Len Min,5.036458354991102e-06
Bwd Pkt Len Min,7.669637215393309e-07
Pkt Len Min,5.390662263224081e-07
SYN Flag Cnt,1.4834588652347032e-10
Fwd Pkts/b Avg,0.0
CWE Flag Count,0.0
Bwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
