,importance
Init Fwd Win Byts,0.11261148623278266
Subflow Fwd Byts,0.059198646328118464
TotLen Fwd Pkts,0.05125475502682976
Bwd Pkt Len Max,0.042864387265849055
Bwd Seg Size Avg,0.03450312886015872
Pkt Len Var,0.03443493844727149
Fwd Act Data Pkts,0.03356999614365161
Bwd Pkt Len Mean,0.03346945229169287
ECE Flag Cnt,0.030883740476090226
RST Flag Cnt,0.027916018732684882
Pkt Len Std,0.027051568728932093
Pkt Len Max,0.026106742907170907
Bwd Pkt Len Std,0.025091957681378396
Flow Duration,0.025061925646784
Fwd Pkt Len Mean,0.024634361887942192
Fwd Seg Size Avg,0.02091606472278166
Fwd IAT Min,0.019592235959442962
Fwd IAT Tot,0.01858882639172692
Flow IAT Max,0.018548455910186546
Flow IAT Mean,0.0175271250553739
Flow IAT Std,0.016999993538774034
Fwd Pkts/s,0.016981786612539646
Fwd IAT Mean,0.01640492033061495
Pkt Size Avg,0.016165226869087897
Fwd IAT Max,0.016057363460891
Fwd IAT Std,0.01445575933564803
Fwd Header Len,0.014237068351583632
Flow IAT Min,0.01376858489981069
Subflow Fwd Pkts,0.013213644448849536
Active Min,0.010037163578473427
TotLen Bwd Pkts,0.009946069534322793
Subflow Bwd Byts,0.009298995034753657
Idle Mean,0.009280890971363477
Bwd IAT Max,0.008398407382060056
Idle Std,0.008353775669578213
Pkt Len Min,0.007926637263662944
Fwd Pkt Len Std,0.007904589821909475
Idle Max,0.007842420875426076
Active Max,0.0075870470082367
Fwd Pkt Len Max,0.00748971772198932
Pkt Len Mean,0.0074456718429562795
Active Mean,0.007135018475424842
Idle Min,0.007095605631678598
Init Bwd Win Byts,0.006519997954804031
Fwd Pkt Len Min,0.006439839517824616
Bwd IAT Tot,0.005763642460606985
Tot Fwd Pkts,0.005608195594751384
Bwd IAT Mean,0.005416411771609432
Tot Bwd Pkts,0.005360667159329543
Subflow Bwd Pkts,0.005091487751572121
Bwd Pkts/s,0.004822791101809453
Bwd Header Len,0.004301124655163613
Bwd IAT Min,0.0032440813890140053
Bwd IAT Std,0.0028293206761744547
Down/Up Ratio,0.002337161875274342
Fwd Seg Size Min,0.0011872690195119308
FIN Flag Cnt,0.0008947426691136558
ACK Flag Cnt,0.0007188060354476604
URG Flag Cnt,0.0005132246037354774
Bwd Pkt Len Min,0.00048367637669038624
Fwd PSH Flags,0.0002951397761361152
Protocol,0.00022716727555254065
SYN Flag Cnt,4.4972267227101276e-05
Active Std,3.2406294900752345e-05
PSH Flag Cnt,1.5700417265832823e-05
Fwd Blk Rate Avg,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd PSH Flags,0.0
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
CWE Flag Count,0.0
