,importance
Init Fwd Win Byts,0.12052902385604625
RST Flag Cnt,0.04249699040521881
Bwd Pkt Len Max,0.03958279811632784
TotLen Fwd Pkts,0.03877356324687717
Pkt Len Max,0.03784560438172561
ECE Flag Cnt,0.03322711457127491
Bwd Pkt Len Mean,0.03270939005513072
Fwd Pkts/s,0.03255425838892904
Fwd Act Data Pkts,0.0303617324600545
Dst Port,0.030243657427724325
Bwd Seg Size Avg,0.02641563698513048
Subflow Fwd Byts,0.025558752134895456
Pkt Len Var,0.023974060532329068
Pkt Len Std,0.023951174865382386
Bwd Pkt Len Std,0.02164013848076981
Flow Duration,0.021455947961174275
Fwd Pkt Len Mean,0.02036132634018519
Flow IAT Std,0.019459617601641763
Fwd IAT Mean,0.01925477729727606
Fwd Seg Size Avg,0.019183006079777975
Flow IAT Max,0.018419152731104504
Fwd IAT Tot,0.017628840447846898
Flow IAT Mean,0.01672614226741457
Subflow Fwd Pkts,0.016711451916560826
Fwd IAT Std,0.016539924254990578
Fwd IAT Max,0.014427677199873496
Pkt Len Mean,0.01356610685281822
Fwd IAT Min,0.013250689079248628
Flow IAT Min,0.01320222576192349
Tot Fwd Pkts,0.011607739983904799
Fwd Header Len,0.0112965898646399
Idle Std,0.01101812875721621
Fwd Pkt Len Std,0.010480398739309338
Pkt Size Avg,0.01037869362361352
TotLen Bwd Pkts,0.009730297948536488
Pkt Len Min,0.009630367658716351
Idle Min,0.0089647697998653
Active Min,0.00884766215648389
Active Mean,0.008302483192228894
Active Max,0.007486064020375701
Bwd IAT Tot,0.007386469397124898
Init Bwd Win Byts,0.006401868621919857
Subflow Bwd Byts,0.006385827074904255
Bwd IAT Std,0.00621396672559132
Bwd IAT Mean,0.006129777916154231
Fwd Pkt Len Max,0.006038126229801294
Bwd Header Len,0.005836117505533823
Fwd Pkt Len Min,0.00582705970677188
Idle Max,0.005790516261498062
Idle Mean,0.005730890854198344
Bwd IAT Max,0.005053410490010302
Tot Bwd Pkts,0.004306602230082644
URG Flag Cnt,0.003994704520458234
Bwd Pkts/s,0.0039077669800916155
Subflow Bwd Pkts,0.0036554824206483393
Bwd IAT Min,0.0030075958432627193
Down/Up Ratio,0.0023483995013917204
ACK Flag Cnt,0.001924526622916624
Protocol,0.0006826710537187376
Fwd Seg Size Min,0.0005330775335375225
FIN Flag Cnt,0.0004896268842954454
Bwd Pkt Len Min,0.0003813875974021638
SYN Flag Cnt,9.894387348586601e-05
PSH Flag Cnt,7.930538522677829e-05
Fwd PSH Flags,1.8591791572016567e-06
Active Std,4.214627288904672e-08
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
CWE Flag Count,0.0
Fwd Byts/b Avg,0.0
Fwd URG Flags,0.0
