,importance
Init Fwd Win Byts,0.18714571499332724
Flow Duration,0.0904990382159181
Fwd Pkts/s,0.0745930190312566
Subflow Fwd Pkts,0.07271639373271306
Fwd IAT Tot,0.06535162999238706
Tot Fwd Pkts,0.05765171685262629
Fwd IAT Max,0.05527315920277387
Flow Pkts/s,0.05263521343698974
Flow IAT Max,0.04194108862973502
Fwd IAT Mean,0.03864566750530366
Flow IAT Mean,0.0348850544583211
Flow IAT Std,0.024508539944759343
Fwd Seg Size Min,0.021443222945562328
Idle Min,0.020011905968478422
Fwd IAT Std,0.01596269895190496
Fwd IAT Min,0.01397615288906524
Fwd Header Len,0.013225030853597787
Idle Max,0.013125654077259293
Flow IAT Min,0.012391978987316301
Fwd Pkt Len Mean,0.012268382236912161
Protocol,0.01173171302227342
Bwd Header Len,0.008210122883648722
Subflow Bwd Byts,0.006939788471521528
Fwd Act Data Pkts,0.006720060392189565
Bwd Pkt Len Mean,0.006108696530320246
TotLen Bwd Pkts,0.006003508759677846
Fwd Pkt Len Max,0.0055787363682006895
Fwd Pkt Len Min,0.004999084311975262
Fwd PSH Flags,0.0029645819912651945
Bwd Pkt Len Min,0.0023747826728656904
SYN Flag Cnt,0.002200017943454019
Init Bwd Win Byts,0.0021623648046428883
Idle Mean,0.002127603521913466
Bwd Pkts/s,0.0020960570485088798
Pkt Len Max,0.0014036554449417507
Bwd Pkt Len Max,0.001399249140655761
URG Flag Cnt,0.001023674021815269
Idle Std,0.0009186371765276195
Pkt Size Avg,0.000866008876698356
Pkt Len Mean,0.0007992763176341242
Bwd Pkt Len Std,0.0006711074331742569
Bwd Seg Size Avg,0.0006533561559752243
Pkt Len Var,0.0006519011249096304
Subflow Fwd Byts,0.0004447673720149725
Down/Up Ratio,0.00044345670852651985
Flow Byts/s,0.0003819804643538638
Tot Bwd Pkts,0.0003413720286176025
Pkt Len Std,0.0002860790116954125
Pkt Len Min,0.000265631899272915
Bwd IAT Max,0.00020006410678440075
Fwd Seg Size Avg,0.00019803676209850565
Fwd Pkt Len Std,0.0001881076255736827
TotLen Fwd Pkts,0.0001123955657024886
Bwd IAT Min,0.00010521364796884142
Bwd IAT Tot,9.91378509666389e-05
Bwd IAT Mean,7.846190177311398e-05
Bwd IAT Std,4.225160213663353e-08
Subflow Bwd Pkts,3.5936390626269093e-09
PSH Flag Cnt,1.435643165332488e-09
ACK Flag Cnt,4.527695542034083e-10
Active Max,0.0
CWE Flag Count,0.0
Fwd Blk Rate Avg,0.0
Active Mean,0.0
Active Min,0.0
FIN Flag Cnt,0.0
Active Std,0.0
ECE Flag Cnt,0.0
Bwd Blk Rate Avg,0.0
Bwd PSH Flags,0.0
Bwd Byts/b Avg,0.0
RST Flag Cnt,0.0
Bwd URG Flags,0.0
Fwd Pkts/b Avg,0.0
Bwd Pkts/b Avg,0.0
Fwd URG Flags,0.0
Fwd Byts/b Avg,0.0
